stock_id,name,eps_Y,eps_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_60d_high,per_60d_low,pbr_latest,pbr_60d_high,pbr_60d_low,period_start,period_end,eps_Y_is_prev,eps_ttm_is_prev,gross_margin_is_prev,operating_margin_is_prev,net_margin_is_prev,per_latest_is_prev,pbr_latest_is_prev,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
1476,儒鴻,6.69,20.67,3.26,-9.32,-8.87,-3.74,32.17,1.98,1.97,22.81,3.65,1.74,19.07,1.99,1.16,17.08,17.61,15.48,3.52,3.52,2.94,,,False,False,False,False,False,False,False,2026-06-01 22:34:39,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:34:42
1503,士電,2.79,6.72,3.4,-19.52,-24.08,32.53,23.77,6.57,0.21,16.05,9.02,-0.06,13.11,8.53,0.95,32.86,32.94,26.97,3.03,3.03,2.48,,,False,False,False,False,False,False,False,2026-06-01 22:34:42,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:34:45
1513,中興電,1.94,8.23,2.31,-6.87,8.16,5.86,25.98,-1.02,0.55,18.54,0.95,-0.2,14.79,0.29,1.18,20.47,20.53,17.84,3.87,3.88,3.41,,,False,False,False,False,False,False,False,2026-06-01 22:34:45,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:34:48
1514,亞力,0.73,3.44,0.86,7.89,-11.15,40.12,17.54,-2.52,-1.15,8.36,-3.43,-0.86,7.93,-1.72,-0.25,36.88,38.33,30.3,5.24,5.41,4.28,,,False,False,False,False,False,False,False,2026-06-01 22:34:48,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:34:51
1519,華城,3.29,14.55,2.25,10.43,65.76,6.38,43.61,1.41,7.76,21.2,1.98,-0.68,21.36,0.89,2.08,59.79,65.83,52.92,33.36,33.67,23.43,,,False,False,False,False,False,False,False,2026-06-01 22:34:51,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:34:54
1560,中砂,2.94,10.26,0.83,5.22,10.28,18.82,35.0,0.82,4.09,19.38,3.89,3.49,19.28,-3.61,3.0,70.71,73.18,47.94,12.96,13.42,8.01,,,False,False,False,False,False,False,False,2026-06-01 22:34:54,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:34:57
1597,直得,0.43,1.19,0.15,27.72,43.0,70.97,41.76,2.93,-2.67,13.25,4.09,4.49,11.34,0.74,5.96,151.68,195.6,94.18,6.58,8.05,3.11,,,False,False,False,False,False,False,False,2026-06-01 22:34:57,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:00
1727,中華化,0.28,0.37,0.19,-19.36,57.02,12.07,17.95,6.1,8.71,8.31,8.39,10.11,6.91,6.59,8.34,257.84,2080.0,214.86,5.79,6.34,2.88,,,False,False,False,False,False,False,False,2026-06-01 22:35:01,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:04
1760,寶齡富錦,0.6,2.49,0.14,-3.47,5.73,6.98,51.87,-0.48,-2.55,16.03,2.78,4.27,9.96,1.06,4.1,24.38,31.44,23.98,2.84,3.06,2.75,,,False,False,False,False,False,False,False,2026-06-01 22:35:04,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:07
1802,台玻,0.2,0.13,3.93,-5.03,7.14,6.46,19.23,5.56,8.28,7.88,3.09,9.57,5.71,2.37,9.95,575.38,575.38,0.0,4.38,4.53,3.19,,,False,False,False,False,False,False,False,2026-06-01 22:35:07,ok,,ok,,ok,,ok,,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,142,6000,5858,2026-06-01 22:35:10
